label,rótulo (label)
Field,Campo
"Sort Order","Ordem de exibição"
Add,Adcionar
O2TI,O2TI
"Sort Address at Checkout","Ordenar Campos de Formulário no Checkout"
"Change the order in which fields are displayed at checkout","Altere a ordem de exibição dos campos no checkout"
"Implements display order of fields in checkout form","Implemente uma ordem de exibição dos campos no checkout"
Enabled,Habilitado
"Address Sort Order","Order de campos do endereço"
"Delivery address and payment form","Formulário de endereço de envio e pagamento"
"Field Address","Campos de Endereço"
"To be listed here, the field must be set to visible","Para ser listado aqui, o campo deve ser definido como visível"
"Customer Sort Order","Formulário de Criação de Conta"
"Note that the ""Create Account"" form type is only available if there is a previous implementation. Meet the O2TI_CheckoutIdentificationStep","Observe que o tipo de formulário ""Criação de Conta"" só está disponível se houver uma implementação anterior. Conheça o O2TI_CheckoutIdentificationStep"
"Account creation form","Formulário de criação da conta"
"Field Customer and Address (if available)","Campos de Clientes e Endereço (se aplicável)"
